,Degree,RMSE
7,8,31.616454989423612
6,7,31.619188035898407
5,6,31.63639826444167
8,9,31.67201581747941
4,5,31.77894309617668
3,4,32.32164787528135
2,3,32.80484003475503
1,2,34.37607263741446
0,1,36.16019035966324
