,Date,Future,poly,LSTM
358,2022-08-02,8665.56677166798,8006.505859375,8501.85
359,2022-08-03,8438.66271804222,8023.880859375,8807.668
360,2022-08-04,8771.243273346096,7875.099609375,8985.053
361,2022-08-05,8612.58078244698,7869.693359375,8969.205
362,2022-08-06,8347.783787201857,7260.849609375,8785.387
363,2022-08-07,8315.06329414493,7204.451171875,8511.316
364,2022-08-08,8939.931514510221,8039.474609375,8267.432
